attack,cost,dbfId,health,id,name,type,mechanics/0,race,,,,,,,,,,,,,,,
2,1,2715,1,AT_029,Buccaneer,MINION,TRIGGER_VISUAL,PIRATE,,,,,,,,,,,,,,,
,,2714,,AT_029e,Extra Stabby,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,2,2767,2,AT_030,Undercity Valiant,MINION,COMBO,,,,,,,,,,,,,,,,
2,2,2766,2,AT_031,Cutpurse,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
4,3,2768,3,AT_032,Shady Dealer,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2769,,AT_032e,Shady Deals,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,2770,,AT_033,Burgle,SPELL,,,,,,,,,,,,,,,,,
1,4,2763,,AT_034,Poisoned Blade,WEAPON,,,,,,,,,,,,,,,,,
,,2764,,AT_034e,Laced,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,2587,,AT_035,Beneath the Grounds,SPELL,,,,,,,,,,,,,,,,,
,3,2847,,AT_035t,Nerubian Ambush!,SPELL,TOPDECK,,,,,,,,,,,,,,,,
8,9,2586,4,AT_036,Anub'arak,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
4,4,3010,4,AT_036t,Nerubian,MINION,,,,,,,,,,,,,,,,,
,1,2792,,AT_037,Living Roots,SPELL,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,2789,,AT_037a,Living Roots,SPELL,,,,,,,,,,,,,,,,,
,0,2791,,AT_037b,Living Roots,SPELL,,,,,,,,,,,,,,,,,
1,1,2790,1,AT_037t,Sapling,MINION,,,,,,,,,,,,,,,,,
2,2,2782,3,AT_038,Darnassus Aspirant,MINION,BATTLECRY,,,,,,,,,,,,,,,,
5,4,2780,4,AT_039,Savage Combatant,MINION,INSPIRE,BEAST,,,,,,,,,,,,,,,
,,2781,,AT_039e,Savage,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
4,4,2786,4,AT_040,Wildwalker,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2787,,AT_040e,Kindred Spirit,ENCHANTMENT,,,,,,,,,,,,,,,,,
6,7,2788,6,AT_041,Knight of the Wild,MINION,,,,,,,,,,,,,,,,,
,,2991,,AT_041e,Call of the Wild,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,2,2783,1,AT_042,Druid of the Saber,MINION,CHOOSE_ONE,,,,,,,,,,,,,,,,
,0,2861,,AT_042a,Lion Form,SPELL,,,,,,,,,,,,,,,,,
,0,2862,,AT_042b,Panther Form,SPELL,,,,,,,,,,,,,,,,,
2,2,2784,1,AT_042t,Sabertooth Lion,MINION,CHARGE,BEAST,,,,,,,,,,,,,,,
3,2,2860,2,AT_042t2,Sabertooth Panther,MINION,STEALTH,BEAST,,,,,,,,,,,,,,,
,4,2785,,AT_043,Astral Communion,SPELL,,,,,,,,,,,,,,,,,
,3,2793,,AT_044,Mulch,SPELL,,,,,,,,,,,,,,,,,
5,9,2796,5,AT_045,Aviana,MINION,AURA,,,,,,,,,,,,,,,,
,,2842,,AT_045e,Empowering Mist,ENCHANTMENT,,,,,,,,,,,,,,,,,
,,2844,,AT_045ee,Mistcaller Deck Ench,ENCHANTMENT,,,,,,,,,,,,,,,,,
,,52723,,AT_045eee,Aviana's Blessing,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,2513,2,AT_046,Tuskarr Totemic,MINION,BATTLECRY,,,,,,,,,,,,,,,,
4,4,2613,4,AT_047,Draenei Totemcarver,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2614,,AT_047e,Experienced,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,2612,,AT_048,Healing Wave,SPELL,,,,,,,,,,,,,,,,,
3,5,2615,6,AT_049,Thunder Bluff Valiant,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2616,,AT_049e,Power of the Bluff,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,4,2617,,AT_050,Charged Hammer,WEAPON,DEATHRATTLE,,,,,,,,,,,,,,,,
,2,2803,,AT_050t,Lightning Jolt,HERO_POWER,,,,,,,,,,,,,,,,,
,3,2620,,AT_051,Elemental Destruction,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
3,2,2610,4,AT_052,Totem Golem,MINION,OVERLOAD,TOTEM,,,,,,,,,,,,,,,
,2,2514,,AT_053,Ancestral Knowledge,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
4,6,2618,4,AT_054,The Mistcaller,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,1,2582,,AT_055,Flash Heal,SPELL,,,,,,,,,,,,,,,,,
,3,2638,,AT_056,Powershot,SPELL,,,,,,,,,,,,,,,,,
4,3,2639,2,AT_057,Stablemaster,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2640,,AT_057o,Groomed,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
3,2,2635,2,AT_058,King's Elekk,MINION,BATTLECRY,BEAST,,,,,,,,,,,,,,,
2,1,2642,1,AT_059,Brave Archer,MINION,INSPIRE,,,,,,,,,,,,,,,,
,2,2641,,AT_060,Bear Trap,SPELL,SECRET,,,,,,,,,,,,,,,,
,2,2484,,AT_061,Lock and Load,SPELL,,,,,,,,,,,,,,,,,
,,2485,,AT_061e,Lock and Load,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
,6,2483,,AT_062,Ball of Spiders,SPELL,,,,,,,,,,,,,,,,,
4,7,2633,2,AT_063,Acidmaw,MINION,TRIGGER_VISUAL,BEAST,,,,,,,,,,,,,,,
4,3,2634,2,AT_063t,Dreadscale,MINION,TRIGGER_VISUAL,BEAST,,,,,,,,,,,,,,,
,3,2729,,AT_064,Bash,SPELL,,,,,,,,,,,,,,,,,
3,3,2756,,AT_065,King's Defender,WEAPON,BATTLECRY,,,,,,,,,,,,,,,,
,,2824,,AT_065e,King's Defender,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,2711,3,AT_066,Orgrimmar Aspirant,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2732,,AT_066e,Forges of Orgrimmar,ENCHANTMENT,,,,,,,,,,,,,,,,,
5,4,2753,3,AT_067,Magnataur Alpha,MINION,,,,,,,,,,,,,,,,,
,2,2754,,AT_068,Bolster,SPELL,,,,,,,,,,,,,,,,,
,,2755,,AT_068e,Bolstered,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,2,2733,2,AT_069,Sparring Partner,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2734,,AT_069e,Training Complete,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,7,2757,6,AT_070,Skycap'n Kragg,MINION,CHARGE,PIRATE,,,,,,,,,,,,,,,
2,2,2758,3,AT_071,Alexstrasza's Champion,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2759,,AT_071e,Alexstrasza's Boon,ENCHANTMENT,,,,,,,,,,,,,,,,,
7,10,2760,7,AT_072,Varian Wrynn,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,1,2648,,AT_073,Competitive Spirit,SPELL,SECRET,,,,,,,,,,,,,,,,
,,2849,,AT_073e,Competitive Spirit,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,2717,,AT_074,Seal of Champions,SPELL,,,,,,,,,,,,,,,,,
,,2719,,AT_074e2,Seal of Champions,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,3,2515,4,AT_075,Warhorse Trainer,MINION,AURA,,,,,,,,,,,,,,,,
,,2516,,AT_075e,Might of the Hostler,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,4,2655,4,AT_076,Murloc Knight,MINION,INSPIRE,MURLOC,,,,,,,,,,,,,,,
2,2,2720,,AT_077,Argent Lance,WEAPON,BATTLECRY,,,,,,,,,,,,,,,,
,,2845,,AT_077e,Extra Poke,ENCHANTMENT,,,,,,,,,,,,,,,,,
,6,2654,,AT_078,Enter the Coliseum,SPELL,,,,,,,,,,,,,,,,,
6,6,2726,6,AT_079,Mysterious Challenger,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,2,2517,3,AT_080,Garrison Commander,MINION,,,,,,,,,,,,,,,,,
3,7,2727,7,AT_081,Eadric the Pure,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2728,,AT_081e,Purified,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,1,2486,2,AT_082,Lowly Squire,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2487,,AT_082e,Training,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,3,2533,3,AT_083,Dragonhawk Rider,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2534,,AT_083e,Dragonhawkery,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
1,2,2577,2,AT_084,Lance Carrier,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2578,,AT_084e,Equipped,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,4,2488,6,AT_085,Maiden of the Lake,MINION,AURA,,,,,,,,,,,,,,,,
,,52744,,AT_085e,Maiden's Blessing,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,3,2576,3,AT_086,Saboteur,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2870,,AT_086e,Villainy,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,3,2490,1,AT_087,Argent Horserider,MINION,CHARGE,,,,,,,,,,,,,,,,
8,6,2491,5,AT_088,Mogor's Champion,MINION,FORGETFUL,,,,,,,,,,,,,,,,
3,2,2495,2,AT_089,Boneguard Lieutenant,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2496,,AT_089e,Boneguarded,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,5,2497,3,AT_090,Mukla's Champion,MINION,INSPIRE,BEAST,,,,,,,,,,,,,,,
,,2498,,AT_090e,Might of the Monkey,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,4,2575,8,AT_091,Tournament Medic,MINION,INSPIRE,,,,,,,,,,,,,,,,
5,3,2594,2,AT_092,Ice Rager,MINION,,ELEMENTAL,,,,,,,,,,,,,,,
2,4,2532,6,AT_093,Frigid Snobold,MINION,SPELLPOWER,,,,,,,,,,,,,,,,
2,2,2580,3,AT_094,Flame Juggler,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,3,2579,2,AT_095,Silent Knight,MINION,DIVINE_SHIELD,,,,,,,,,,,,,,,,
5,5,2500,5,AT_096,Clockwork Knight,MINION,BATTLECRY,MECHANICAL,,,,,,,,,,,,,,,
,,2501,,AT_096e,Wound Up,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,1,2499,1,AT_097,Tournament Attendee,MINION,TAUNT,,,,,,,,,,,,,,,,
6,6,2573,5,AT_098,Sideshow Spelleater,MINION,BATTLECRY,,,,,,,,,,,,,,,,
3,6,2598,5,AT_099,Kodorider,MINION,INSPIRE,,,,,,,,,,,,,,,,
3,5,2799,5,AT_099t,War Kodo,MINION,,BEAST,,,,,,,,,,,,,,,
3,3,2503,3,AT_100,Silver Hand Regent,MINION,INSPIRE,,,,,,,,,,,,,,,,
5,5,2521,6,AT_101,Pit Fighter,MINION,,,,,,,,,,,,,,,,,
5,7,2522,9,AT_102,Captured Jormungar,MINION,,BEAST,,,,,,,,,,,,,,,
9,9,2520,7,AT_103,North Sea Kraken,MINION,BATTLECRY,BEAST,,,,,,,,,,,,,,,
5,5,2504,5,AT_104,Tuskarr Jouster,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,1,2502,4,AT_105,Injured Kvaldir,MINION,BATTLECRY,,,,,,,,,,,,,,,,
4,3,2259,3,AT_106,Light's Champion,MINION,BATTLECRY,,,,,,,,,,,,,,,,
5,4,2627,3,AT_108,Armored Warhorse,MINION,BATTLECRY,BEAST,,,,,,,,,,,,,,,
2,2,2505,4,AT_109,Argent Watchman,MINION,CANT_ATTACK,,,,,,,,,,,,,,,,
,,2506,,AT_109e,Inspired,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
2,3,2585,5,AT_110,Coliseum Manager,MINION,INSPIRE,,,,,,,,,,,,,,,,
3,4,2704,5,AT_111,Refreshment Vendor,MINION,BATTLECRY,,,,,,,,,,,,,,,,
5,6,2507,6,AT_112,Master Jouster,MINION,BATTLECRY,,,,,,,,,,,,,,,,
5,5,2509,4,AT_113,Recruiter,MINION,INSPIRE,,,,,,,,,,,,,,,,
5,4,2752,4,AT_114,Evil Heckler,MINION,TAUNT,,,,,,,,,,,,,,,,
2,3,2581,2,AT_115,Fencing Coach,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2825,,AT_115e,Fencing Practice,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,2,2596,4,AT_116,Wyrmrest Agent,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2597,,AT_116e,Bring it on!,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,3,2493,2,AT_117,Master of Ceremonies,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2751,,AT_117e,Ceremony,ENCHANTMENT,,,,,,,,,,,,,,,,,
5,6,2510,5,AT_118,Grand Crusader,MINION,BATTLECRY,,,,,,,,,,,,,,,,
4,5,2511,4,AT_119,Kvaldir Raider,MINION,INSPIRE,,,,,,,,,,,,,,,,
,,2735,,AT_119e,Inspired,ENCHANTMENT,,,,,,,,,,,,,,,,,
8,10,2512,8,AT_120,Frost Giant,MINION,,,,,,,,,,,,,,,,,
4,4,2518,4,AT_121,Crowd Favorite,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
,,2750,,AT_121e,Huge Ego,ENCHANTMENT,,,,,,,,,,,,,,,,,
4,4,2724,4,AT_122,Gormok the Impaler,MINION,BATTLECRY,,,,,,,,,,,,,,,,
6,7,2682,6,AT_123,Chillmaw,MINION,DEATHRATTLE,DRAGON,,,,,,,,,,,,,,,
3,6,2595,9,AT_124,Bolf Ramshield,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
10,9,2725,10,AT_125,Icehowl,MINION,CHARGE,,,,,,,,,,,,,,,,
4,5,2683,5,AT_127,Nexus-Champion Saraad,MINION,INSPIRE,,,,,,,,,,,,,,,,
7,6,2681,4,AT_128,The Skeleton Knight,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,
3,3,2748,4,AT_129,Fjola Lightbane,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
6,6,2723,7,AT_130,Sea Reaver,MINION,TOPDECK,,,,,,,,,,,,,,,,
3,3,2519,4,AT_131,Eydis Darkbane,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
6,6,2736,3,AT_132,Justicar Trueheart,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,2,2737,,AT_132_DRUID,Dire Shapeshift,HERO_POWER,,,,,,,,,,,,,,,,,
,2,51465,,AT_132_DRUIDa,Dire Shapeshift,HERO_POWER,,,,,,,,,,,,,,,,,
,,2747,,AT_132_DRUIDe,Dire Claws,ENCHANTMENT,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,
,2,2738,,AT_132_HUNTER,Ballista Shot,HERO_POWER,,,,,,,,,,,,,,,,,
,2,2739,,AT_132_MAGE,Fireblast Rank 2,HERO_POWER,,,,,,,,,,,,,,,,,
,2,2740,,AT_132_PALADIN,The Silver Hand,HERO_POWER,,,,,,,,,,,,,,,,,
,2,2741,,AT_132_PRIEST,Heal,HERO_POWER,,,,,,,,,,,,,,,,,
,2,2743,,AT_132_ROGUE,Poisoned Daggers,HERO_POWER,,,,,,,,,,,,,,,,,
,2,46053,,AT_132_ROGUE_H1,Poisoned Daggers,HERO_POWER,,,,,,,,,,,,,,,,,
2,1,2746,,AT_132_ROGUEt,Poisoned Dagger,WEAPON,,,,,,,,,,,,,,,,,
2,1,46055,,AT_132_ROGUEt_H1,Poisoned Dagger,WEAPON,,,,,,,,,,,,,,,,,
,2,2742,,AT_132_SHAMAN,Totemic Slam,HERO_POWER,,,,,,,,,,,,,,,,,
0,0,16221,2,AT_132_SHAMANa,Healing Totem,MINION,,,,,,,,,,,,,,,,,
1,0,16222,1,AT_132_SHAMANb,Searing Totem,MINION,,,,,,,,,,,,,,,,,
0,0,16223,2,AT_132_SHAMANc,Stoneclaw Totem,MINION,,,,,,,,,,,,,,,,,
0,0,16225,2,AT_132_SHAMANd,Wrath of Air Totem,MINION,,,,,,,,,,,,,,,,,
,2,2744,,AT_132_WARLOCK,Soul Tap,HERO_POWER,,,,,,,,,,,,,,,,,
,2,51468,,AT_132_WARLOCKa,Soul Tap,HERO_POWER,,,,,,,,,,,,,,,,,
,2,51838,,AT_132_WARLOCKb,Soul Tap,HERO_POWER,,,,,,,,,,,,,,,,,
,2,2745,,AT_132_WARRIOR,Tank Up!,HERO_POWER,,,,,,,,,,,,,,,,,
1,1,2818,2,AT_133,Gadgetzan Jouster,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,2819,,AT_133e,Victory!,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,49225,,BCON_001,Deadeye,SPELL,,,,,,,,,,,,,,,,,
,,50134,,BCON_001e,Deadeye,ENCHANTMENT,,,,,,,,,,,,,,,,,
,5,49228,,BCON_004,Polymorph: ???,SPELL,,,,,,,,,,,,,,,,,
,3,49231,,BCON_008,Nature's Champion,SPELL,,,,,,,,,,,,,,,,,
,,50131,,BCON_008e,Nature's Champion,ENCHANTMENT,,,,,,,,,,,,,,,,,
,1,49237,,BCON_012,Hand of Salvation,SPELL,SECRET,,,,,,,,,,,,,,,,
,2,49240,,BCON_015,Generous Spirit,SPELL,,,,,,,,,,,,,,,,,
,1,49241,,BCON_016,Smoke Bomb,SPELL,,,,,,,,,,,,,,,,,
,,50133,,BCON_016e,Smoke Bombed,ENCHANTMENT,,,,,,,,,,,,,,,,,
,0,49246,,BCON_021,Crackling Doom,SPELL,OVERLOAD,,,,,,,,,,,,,,,,
,0,49249,,BCON_024,Bottled Madness,SPELL,,,,,,,,,,,,,,,,,
1,1,47775,1,BOT_020,Skaterbot,MINION,MODULAR,MECHANICAL,,,,,,,,,,,,,,,
,,47777,,BOT_020e,Skaterbot,ENCHANTMENT,MODULAR,,,,,,,,,,,,,,,,
1,3,47781,5,BOT_021,Bronze Gatekeeper,MINION,MODULAR,MECHANICAL,,,,,,,,,,,,,,,
,,47784,,BOT_021e,Bronze Gatekeeper,ENCHANTMENT,MODULAR,,,,,,,,,,,,,,,,
0,1,47837,2,BOT_031,Goblin Bomb,MINION,DEATHRATTLE,MECHANICAL,,,,,,,,,,,,,,,
,2,47840,,BOT_033,Bomb Toss,SPELL,AFFECTED_BY_SPELL_POWER,,,,,,,,,,,,,,,,
5,7,47841,5,BOT_034,Boommaster Flark,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,2,47842,2,BOT_035,Venomizer,MINION,MODULAR,MECHANICAL,,,,,,,,,,,,,,,
,,48739,,BOT_035e,Venomizer,ENCHANTMENT,MODULAR,,,,,,,,,,,,,,,,
2,2,47855,1,BOT_038,Fireworks Tech,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,47854,,BOT_038e,Primed,ENCHANTMENT,,,,,,,,,,,,,,,,,
3,5,47856,6,BOT_039,Necromechanic,MINION,AURA,,,,,,,,,,,,,,,,
,,52783,,BOT_039e,Necromechanical,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,47860,,BOT_042,Weapons Project,SPELL,,,,,,,,,,,,,,,,,
2,2,49473,,BOT_042t,Gearblade,WEAPON,,,,,,,,,,,,,,,,,
2,5,47888,6,BOT_050,Rusty Recycler,MINION,LIFESTEAL,MECHANICAL,,,,,,,,,,,,,,,
,1,47887,,BOT_054,Biology Project,SPELL,,,,,,,,,,,,,,,,,
1,1,48691,3,BOT_059,Eternium Rover,MINION,TRIGGER_VISUAL,MECHANICAL,,,,,,,,,,,,,,,
2,6,47924,2,BOT_066,Mechanical Whelp,MINION,DEATHRATTLE,MECHANICAL,,,,,,,,,,,,,,,
7,7,48897,7,BOT_066t,Mechanical Dragon,MINION,,MECHANICAL,,,,,,,,,,,,,,,
,2,47925,,BOT_067,Rocket Boots,SPELL,,,,,,,,,,,,,,,,,
,,53066,,BOT_067e,Rocket Boots,ENCHANTMENT,,,,,,,,,,,,,,,,,
,9,47928,,BOT_069,The Boomship,SPELL,,,,,,,,,,,,,,,,,
,,53061,,BOT_069e,Rocketeer,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,1,48025,1,BOT_079,Faithful Lumi,MINION,BATTLECRY,MECHANICAL,,,,,,,,,,,,,,,
,,48024,,BOT_079e,Illuminated,ENCHANTMENT,,,,,,,,,,,,,,,,,
2,2,48034,2,BOT_083,Toxicologist,MINION,BATTLECRY,,,,,,,,,,,,,,,,
,,48033,,BOT_083e,Toxic,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,48035,,BOT_084,Violet Haze,SPELL,,,,,,,,,,,,,,,,,
,4,48040,,BOT_087,Academic Espionage,SPELL,,,,,,,,,,,,,,,,,
,,48992,,BOT_087e,Academic Espionage,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,48051,,BOT_093,Elementary Reaction,SPELL,,,,,,,,,,,,,,,,,
2,2,48060,4,BOT_098,Unpowered Mauler,MINION,,MECHANICAL,,,,,,,,,,,,,,,
,6,48799,,BOT_099,Eureka!,SPELL,,,,,,,,,,,,,,,,,
,2,47978,,BOT_101,Astral Rift,SPELL,,,,,,,,,,,,,,,,,
5,6,47979,1,BOT_102,Spark Drill,MINION,DEATHRATTLE,MECHANICAL,,,,,,,,,,,,,,,
1,1,48557,1,BOT_102t,Spark,MINION,RUSH,ELEMENTAL,,,,,,,,,,,,,,,
2,3,47982,4,BOT_103,Stargazer Luna,MINION,TRIGGER_VISUAL,,,,,,,,,,,,,,,,
3,5,48542,4,BOT_104,Dyn-o-matic,MINION,BATTLECRY,MECHANICAL,,,,,,,,,,,,,,,
4,6,48552,4,BOT_107,Missile Launcher,MINION,MODULAR,MECHANICAL,,,,,,,,,,,,,,,
,,48549,,BOT_107e,Missile Launcher,ENCHANTMENT,MODULAR,,,,,,,,,,,,,,,,
3,3,48099,4,BOT_216,Omega Medic,MINION,BATTLECRY,,,,,,,,,,,,,,,,
2,6,48100,5,BOT_218,Security Rover,MINION,TRIGGER_VISUAL,MECHANICAL,,,,,,,,,,,,,,,
2,2,49278,3,BOT_218t,Guard Bot,MINION,TAUNT,MECHANICAL,,,,,,,,,,,,,,,
,3,48101,,BOT_219,Extra Arms,SPELL,,,,,,,,,,,,,,,,,
,,49415,,BOT_219e,Armed,ENCHANTMENT,,,,,,,,,,,,,,,,,
,3,50657,,BOT_219t,More Arms!,SPELL,,,,,,,,,,,,,,,,,
,,50658,,BOT_219te,More Armed,ENCHANTMENT,,,,,,,,,,,,,,,,,
,2,48113,,BOT_222,Spirit Bomb,SPELL,,,,,,,,,,,,,,,,,
2,3,48116,2,BOT_224,Doubling Imp,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
1,3,48298,5,BOT_226,Nethersoul Buster,MINION,BATTLECRY,DEMON,,,,,,,,,,,,,,,
,,48894,,BOT_226e,Nethercharged,ENCHANTMENT,,,,,,,,,,,,,,,,,
,5,48644,,BOT_234,Shrink Ray,SPELL,,,,,,,,,,,,,,,,,
,,48643,,BOT_234e,Shrink Ray,ENCHANTMENT,,,,,,,,,,,,,,,,,
1,2,48637,2,BOT_236,Crystalsmith Kangor,MINION,DIVINE_SHIELD,,,,,,,,,,,,,,,,
